,sku_config,Cat1,Cat2,Cat3,Cat4,Brand,main_cat,parent_cat,main_cat_rec_share,parent_cat_rec_share,brand_rec_share
7307,KO802HL1HNWXOLMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Koblenz,hornos y estufas,cocina,0.0,0.0,0.0
7527,CO800HL17DWOLMX,Electrodomesticos,Pequenos Electrodomesticos,Limpieza del Hogar,Articulos de Limpieza,Comodidades,articulos de limpieza,limpieza del hogar,0.0,0.0,0.0
7718,KO802HL0DRVEKLMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Koblenz,hornos y estufas,cocina,0.0,0.0,0.0
7860,PA116HL29ZOCLMX,Electrodomesticos,Pequenos Electrodomesticos,Microondas y Hornos,Microondas,Panasonic,microondas,microondas y hornos,0.0,0.0,0.0
7906,GE598HL0SEW3ILMX,Electrodomesticos,Pequenos Electrodomesticos,Microondas y Hornos,,Black And Decker,microondas y hornos,pequenos electrodomesticos,0.0,0.0,0.0
8233,RE045EL86CZDLMX,Camaras y Lentes,Camaras,Otras Camaras,Camaras Espias,RedLemon,camaras espias,otras camaras,0.0,0.0,0.0
8284,LI200TB51UBGLMX,"Juguetes, ninos y bebes",Juguetes,Triciclos y Montables,,Virtual Supply,triciclos y montables,juguetes,0.0,0.0,0.0
8424,WH595HL1CYN14LMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Whirlpool,hornos y estufas,cocina,0.0,0.0,0.0
8457,GE598HL0UYQ3WLMX,Electrodomesticos,Pequenos Electrodomesticos,Microondas y Hornos,,Mabe,microondas y hornos,pequenos electrodomesticos,0.0,0.0,0.0
8504,ME327HL78CZLLMX,Electrodomesticos,Pequenos Electrodomesticos,Limpieza del Hogar,Articulos de Limpieza,MERCADOT,articulos de limpieza,limpieza del hogar,0.0,0.0,0.0
8562,HU836TB0DTIQYLMX,"Juguetes, ninos y bebes",Juguetes,Juguetes para Ninos,Vehiculos Radiocontrol,Hubsan,vehiculos radiocontrol,juguetes para ninos,0.0,0.0,0.0
8869,MO702EL81VCWLMX,Camaras y Lentes,Camaras,Otras Camaras,Otras Camaras,Mobile City,otras camaras,otras camaras,0.0,0.0,0.0
9200,TU500HL11KZ9OLMX,Electrodomesticos,Pequenos Electrodomesticos,Preparacion de Bebidas,,Turmix,preparacion de bebidas,pequenos electrodomesticos,0.0,0.0,0.0
9320,EN464TB54CCVLMX,"Juguetes, ninos y bebes",Juguetes,Triciclos y Montables,Scooters,Enerplay,scooters,triciclos y montables,0.0,0.0,0.0
9605,AX845HL1EPOPGLMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Axcent,hornos y estufas,cocina,0.0,0.0,0.0
9633,AP067TB07DCALMX,"Juguetes, ninos y bebes",Juguetes,Triciclos y Montables,Scooters,Apache,scooters,triciclos y montables,0.0,0.0,0.0
9634,AP067TB07DCALMX,"Juguetes, ninos y bebes",Juguetes,Triciclos y Montables,Scooters,Apache,scooters,triciclos y montables,0.0,0.0,0.0
9651,FI562TB04YN9KLMX,"Juguetes, ninos y bebes",Juguetes,Juguetes para Ninos,Figuras de Accion,Fisher Price,figuras de accion,juguetes para ninos,0.0,0.0,0.0
9809,IM242TB51XTOLMX,"Juguetes, ninos y bebes",Juguetes,Triciclos y Montables,Triciclos,IMAGE LAND,triciclos,triciclos y montables,0.0,0.0,0.0
9919,EN464TB49CDALMX,"Juguetes, ninos y bebes",Juguetes,Triciclos y Montables,Triciclos,Enerplay,triciclos,triciclos y montables,0.0,0.0,0.0
